node,type
FLAME II,hero
FLARE/,hero
FLASH/BARRY ALLEN/BU,hero
FLATIRON/RUSSELL,hero
FLATMAN,hero
"FLEET, JONAS",hero
"FLEET, TAMARA",hero
"FLEMING, PHILIP",hero
FLEX/ADRIAN CORBO,hero
FLINCH/,hero
"FLINN, LANCELOT LANC",hero
"FLINT, LT.",hero
FLO,hero
"FLORESCU, ANTON",hero
"FLORES, DAHLIA",hero
"FLORES, JAMIE",hero
"FLORES, SHANICE",hero
FLUFFY,hero
FLUX/PRIVATE BENNY T,hero
FLY,hero
FLYING DUTCHMAN,hero
FLYING FOX,hero
FLYING TIGER,hero
FLYNN,hero
"FOGELSTROM, HIRAM",hero
"FOGG, ARCHIMEDES ARC",hero
FOGG/THOMAS FOGG,hero
FOLD,hero
"FONDOZZI, MICKEY",hero
"FONG, DR. CHARLES WA",hero
"FONG, KATY",hero
"FONG, LI",hero
"FONTAINE, CINDER",hero
FONTANELLE/GLORIA DA,hero
"FONTREAUX, GUY",hero
FOOL,hero
FOOLKILLER II/GREG S,hero
FOOLKILLER III/KURT,hero
FOOLKILLER/ROSS EVER,hero
FORCE/CLAYTON WILSON,hero
"FORD, GERALD",hero
FORD,hero
FOREARM,hero
FOREIGNER/RAFAEL BAS,hero
FORGE | EARTH 998,hero
FORGE,hero
FORGE | MUTANT X-VER,hero
FORGOTTEN ONE/GILGAM,hero
FOROPULIST,hero
"FORRESTER, CAPT. ALE",hero
"FORRESTER, DR. CEDRI",hero
"FORTHWARD, KENT",hero
"FORTUNATO, GIACOMO J",hero
FORTUNATO,hero
"FORTUNATO, JAMES",hero
"FORTUNATO, MARY",hero
"FORTUNE, DOMINIC",hero
FORTUNE,hero
FOUNDRY,hero
"FOWLER, RED",hero
FOXBAT,hero
FOXFIRE/OLIVIA UNDER,hero
"FOX, PHIL",hero
"FRANKENSTEIN, BASIL",hero
FRANKENSTEIN MONSTER,hero
FRANKENSURFER/BORGO,hero
FRANKIE THE FISH,hero
"FRANKLIN, JEREMY",hero
"FRASER, DET. KATE",hero
FREAK QUINCY,hero
FREDD,hero
"FREDERICKS, GENERAL",hero
"FREDERICKSON, KOLINA",hero
"FREEMAN, DEREK",hero
"FREEMAN, DUANE JEROM",hero
FREE SPIRIT/CATHY WE,hero
FRENCHIE/JEAN-PAUL D,hero
FRIDAY,hero
"FRIEDLANDER, SHARON",hero
FRIGGA,hero
FROG MAN/FROG LE BLA,hero
FROG-MAN II/EUGENE P,hero
FROH,hero
"FROST, ADRIENNE",hero
FROSTBITE/DR. SLOANE,hero
"FROST, BYRON",hero
"FROST, CARMILLA",hero
"FROST, CORDELIA",hero
"FROST, DEACON",hero
FROST,hero
"FUANARO, RENEE",hero
FUGUE,hero
"FUJIKAWA, KENJIRO",hero
"FUJIKAWA, RUMIKO",hero
"FULLERTON, MARY ELLE",hero
"FULLERTON-SMITH, CAS",hero
FU MANCHU,hero
"FUNARO, DONNA",hero
FURGAR,hero
"FURMAN, RICHARD",hero
"FURMINTZ, HARMON",hero
"FURY, COL. NICHOLAS",hero
"FURY, DAWN",hero
"FURY, NICK II",hero
"FURY, NICK L.M.D.",hero
"FURY, NICK | MUTANT",hero
FU'SE,hero
FUSION/MARKLEY,hero
FUTURIST,hero
GAARD/JOHNNY STORM E,hero
GAARK,hero
GABRIEL III,hero
GADFLY/RUTH MACRAE,hero
GADRIEL,hero
GAEA,hero
GAFF/SIDNEY E. LEVIN,hero
GAIA,hero
GALACTUS/GALAN,hero
GALADRIEL,hero
"GALANNAN, BILL",hero
GALEN,hero
"GALEN KOR, ADMIRAL [",hero
"GALE, SHERIFF",hero
"GALLAGHER, BOB",hero
GALTUS,hero
"GALVIN, TOMMY",hero
GAMBIT DOPPELGANGER,hero
GAMBIT | MUTANT X-VE,hero
GAMBIT/REMY LEBEAU,hero
"GAMBLE, GRACIE",hero
"GAMBONNO, ERNESTO",hero
"GAMBONNO, LUIGI",hero
GAMECOCK/,hero
"GAMELIN, JOHN T J.T.",hero
GAMESMASTER/JEREMY,hero
GAMMA-BURN/,hero
GAMMENON [CELESTIAL],hero
GAMORA,hero
"GANCE, TABITHA TABBY",hero
"GANGER, CARMEN",hero
"GANGER, DR. ALEXEI",hero
"GANNON, RICH",hero
"GANNON, SGT. FRANK",hero
GANTRY,hero
GANYMEDE,hero
G'ANYM,hero
"GAPON, DZHOKHAR",hero
GARABALDI,hero
GARABED/BASHUR,hero
"GARCIA, REV.",hero
GARDENER/ORD ZYONYZ,hero
"GARFIELD, MURRAY",hero
GARGOUILLE/,hero
GARGOYLE/IGOR DRENKO,hero
GARGOYLE II/ISAAC CH,hero
GARGOYLE | MUTANT X-,hero
GARM,hero
GARNOK REBBAHN,hero
GAROKK,hero
GAROTTE/,hero
"GARRETT, JOHN",hero
"GARRISON, DR.",hero
GARTHAN SAAL,hero
"GARTH, DONNA",hero
GARTH,hero
GAR-TOOM,hero
"GARVIN, GEARS",hero
GATECRASHER,hero
"GATES, JUNIOR",hero
GATEWAY,hero
"GATOR, LORD",hero
GATTLING/,hero
"GATZ, WILLIAM BILLY",hero
"GAULTHING, ANDERSON",hero
GAUNT II,hero
GAUNTLET,hero
GAUNT/MENDEL STROMM,hero
"GAUNT, OFFICER KIM",hero
GAZA,hero
GAZELLE,hero
GEATAR,hero
"GEDDINGS, JUDITH GHO",hero
GEE/ALEX POWER,hero
"GEESEY, KARL",hero
GEIGER/DELILAH DEEDE,hero
GEIRRODUR,hero
GEIST,hero
"GELLER, URI",hero
GEMINI/JOSHUA LINK,hero
GENECIDE,hero
GENERAL ADMISSION,hero
GENERAL OBSIDIAN,hero
GENESIS/TYLER DAYSPR,hero
GENII/JASON KIMBALL,hero
GENTRY,hero
"GENUARDI, MR.",hero
"GEORGE, DAVID LLOYD",hero
"GERARD, TERENCE",hero
"GERASI, DON MARIO",hero
"GERASI, JOEY",hero
"GERASI, LESLIE",hero
"GERASI, MARY ROSE",hero
"GERHARDT, JOSEPH HEI",hero
"GERVASE, LADY ALYSSA",hero
GESTALT,hero
GHAUR [DEVIANT],hero
GHOST GIRL/,hero
GHOST GIRL II/LILLI,hero
GHOST,hero
GHOST RIDER III/DAN,hero
GHOST RIDER II/JOHNN,hero
GIBBON/MARTIN BLANK,hero
"GIDEON, CLAIRE",hero
"GIDEON, GREGORY HUNG",hero
GIDEON,hero
GIGANTO,hero
GIGANTUS,hero
"GILBERTI, ROSE",hero
"GILBERT, PROFESSOR G",hero
"GILBERT, ROXANNE",hero
GIL,hero
"GILLISPIE, ANDREW AN",hero
"GILMORE, BERT",hero
GIN GENIE/BECKAH,hero
GIRABOOR,hero
"GIURESCU, RADU",hero
GLABOO,hero
GLADIATOR II,hero
GLADIATOR/MELVIN POT,hero
GLADIATRIX,hero
GLAMOUR GIRL/GLORIA,hero
"GLAZER, FAST FREDDY",hero
"GLEASON, KAREN",hero
GLEEG,hero
"GLENN, HEATHER",hero
GLITCH/CHARLES J. AM,hero
GLITTER/,hero
GLOB/DR. SUMNER BECK,hero
GLOM,hero
GLORIAN/THOMAS GIDEO,hero
GLORIOLE,hero
GLOUCESTER,hero
GLUB,hero
"GNUCCI, MA",hero
GOBLYN,hero
GO-DEVIL/GO ISHIMORI,hero
GODSTALKER,hero
GODWULF,hero
GOG,hero
GOG II,hero
GOG III,hero
GOGO TAMAGO/,hero
GOLDBUG,hero
GOLDDIGGER,hero
GOLDEN ARCHER II/WYA,hero
GOLDEN-BLADE,hero
GOLDEN GIRL/GWENNY L,hero
"GOLDFARB, AARON",hero
GOLDFIRE/AMEIKO SABU,hero
GOLD,hero
GOLDIELOCKS/,hero
GOLEM II,hero
GOLEM III,hero
GOLEM/JACOB GOLDSTEI,hero
GOMURR,hero
"GONZALEZ, RAYMOND",hero
GOOM,hero
"GOONER, MELVIN",hero
GORGEOUS GEORGE,hero
GORGILLA,hero
GORGON [INHUMAN],hero
GORGON | MUTANT X-VE,hero
GORILLA-MAN,hero
GORN,hero
GORNKAI,hero
GOROTH,hero
GORR,hero
GOSAMYR,hero
GOTH,hero
"GOTTFRIED, WILLIS",hero
"GOULDING, DR.",hero
"GOYER, SAUL",hero
GRACE,hero
GRANDE DAME,hero
GRANDMASTER/EN DWI G,hero
GRAND OVERSEER,hero
GRANITOR,hero
"GRANT, DONALD",hero
"GRANT, GATOR",hero
"GRANT, GLORIA GLORY",hero
"GRANT, MARY MEEKS",hero
"GRANT, PHILLIP",hero
"GRANT, SILAS",hero
"GRANT, SILAS II",hero
GRAPPLER,hero
GRASP,hero
"GRASSWIND, Z'OOFREY",hero
G'RATH,hero
GRAVEMOSS,hero
GRAVITON/FRANK HALL,hero
"GRAY, CHARLES",hero
"GRAY, SGT.",hero
"GRAZIA, VINCENT VINN",hero
GREASE,hero
GREASY,hero
"GREEN, ARNIE",hero
GREEN GOBLIN III/BAR,hero
GREEN GOBLIN IV/PHIL,hero
GREEN GOBLIN | MUTAN,hero
GREEN GOBLIN/NORMAN,hero
GREEN GOBLIN V/,hero
"GREEN, JAMES",hero
"GREEN, LILA",hero
GREENSONG,hero
"GREER, DAVID",hero
"GREER, GABRIELLE",hero
GREGOR,hero
"GREGORY, TODD",hero
"GREICO, LINDA",hero
GREMLIN/,hero
GRENDEL'S MOTHER,hero
GRESIG,hero
"GREY, DR. JOHN",hero
"GREY, ELAINE",hero
GREY GARGOYLE/PAUL P,hero
"GREY, JEAN | MUTANT",hero
GREY KING/ADDISON FA,hero
GREYSTONE/BRIAN YOUN,hero
GRID,hero
GRIEFSAVOR,hero
GRIFFIN,hero
GRIFFIN III,hero
GRIFFIN II/JOHNNY HO,hero
"GRIFFITH, D.W.",hero
GRIM HUNTER/KRAVINOF,hero
"GRIMM, BEN | EARTH-A",hero
"GRIMM, BEN | MUTANT",hero
"GRIMM, BEN | TIMESLI",hero
"GRIMM, JAKE",hero
"GRIMM, PETUNIA PENNY",hero
"GRIMM, SUE STORM EAR",hero
GRIM REAPER/ERIC WIL,hero
"GRIPPO, BILLY",hero
GRIS-GRIS,hero
GRIZZLY II/THEODORE,hero
GRIZZLY/MAXWELL MARK,hero
GROK,hero
GRON,hero
GRONK,hero
"GROSS, CLIFFORD",hero
"GROSS, IRA",hero
GROTESK,hero
GROTTU,hero
GROUNDHOG/SEAN BENAR,hero
GROVEL,hero
"GROVES, GEN. MCALLIS",hero
GROWING MAN,hero
"GRUENWALD, MARK",hero
"GRUNCH, ALESTAIRE FI",hero
GRUX,hero
GRYPHON/COMMANDER EK,hero
GUARDIAN III,hero
GUARDIAN IV,hero
GUARDIAN/JAMES MACDO,hero
GUARDIAN | MUTANT X-,hero
GUARDIAN V/JAMES MAC,hero
GUARDSMAN/KEVIN O'BR,hero
GUDRUN [ASGARDIAN],hero
GUILOTINE,hero
GUINNESS,hero
GULADKIN,hero
GULLIN,hero
GULLO,hero
"GUNDERSON, COL. ROLA",hero
GUNSHIP/CARY ROUNTRE,hero
GUNTHAR,hero
GUNTHAR II,hero
"GUNTLY, DAVID",hero
"GUTHRIE, JOELLE",hero
"GUTHRIE, JOSH",hero
"GUTHRIE, LUCINDA",hero
"GUTHRIE, LUKE",hero
"GUTHRIE, TYLER",hero
GYPSY MOTH,hero
GYRE,hero
"GYRICH, HENRY PETER",hero
HAAG,hero
HACK/,hero
"HADDOCK, DR. MYRA",hero
HAFNIUM,hero
"HAGER, GENERAL",hero
"HAGGERT, BOB",hero
HAG/,hero
HAIRBAG/SUGGS,hero
"HALBERG, DONALD",hero
"HALDEMAN, CALVIN",hero
"HALE, JONAS",hero
"HALE, NAN",hero
"HALE, TOM",hero
HALF-FACE,hero
HALFLIFE,hero
"HALFTREE, HORACE",hero
"HALLER, GABRIELLE",hero
"HALL, MORGAN",hero
HALLOWEEN JACK,hero
HAMES,hero
"HAMID, SHEIK",hero
"HAMILTON, JEROME",hero
"HAMILTON, MICKY",hero
"HAMILTON, PAUL",hero
HAMIR,hero
HAMMERHAND,hero
HAMMERHAND II/BRON,hero
HAMMERHEAD,hero
HAMMER II/,hero
HAMMER III/EISENHOWE,hero
HAMMER IV/,hero
"HAMMER, JUSTIN",hero
HAMMER/LEROY JACKSON,hero
"HANCOCK, CALISTA",hero
HANGMAN,hero
HANGMAN II/JASON ROL,hero
"HANRAHAN, GORDON",hero
"HANRAHY, JIM",hero
HANRANSHA/ASAHI,hero
"HANSEN, BILLY",hero
HARBINGER,hero
HARDBALL,hero
HARD BOILED HENWY,hero
HARDCASE/HAROLD HARR,hero
HARDCORE/,hero
"HARDERMAN, QUENTIN",hero
HARDRIVE,hero
HARDWIRE/,hero
"HARDY, LYDIA",hero
"HARDY, MORGAN MACNEI",hero
"HARDY, STAN",hero
HARGEN,hero
"HARGROVE, ELIAS",hero
"HARKER, QUINCY",hero
"HARKNESS, ABIGAIL",hero
"HARKNESS, AGATHA",hero
HARMONY,hero
HARNESS/ERIKA BENSON,hero
HAROKIN [ASGARDIAN],hero
HARPOON,hero
HARPY II,hero
HARQUIS TEY,hero
"HARRAS, BOB",hero
"HARR, DR.",hero
HARRIER,hero
"HARRIGAN, CHESTER CH",hero
"HARRIGAN, PATRICIA P",hero
"HARRINGTON, PRINCIPA",hero
"HARRIS, BERNARD",hero
"HARRIS, CHRISTINE",hero
"HARRIS, EDDIE",hero
"HARRIS, MONROE",hero
"HARRISON, COL. EDWAR",hero
"HARROW, DR. JONAS",hero
HARVEST/CHI LO,hero
HARVEST II,hero
"HARVEY, SUE",hero
"HASARD, SAMANTHA",hero
HASSAN,hero
"HASTINGS, PROF. LOUI",hero
HATCHET-9,hero
HATCHET MAN/HACHIMAN,hero
"HATCHWAY, VERNON",hero
HATE,hero
HATE-MONGER/ADOLF HI,hero
HATE-MONGER II,hero
HATE-MONGER IV,hero
HATE-MONGER V,hero
"HATORI, DESMOND",hero
HAUPTMAN,hero
HAUPTMANN DEUTSCHLAN,hero
HAUPTMANN ENGLAND,hero
HAUS,hero
HAV-AK,hero
HAVEN/RADHA DASTOOR,hero
"HAVERSHAW, ANDREA",hero
"HAVERSHAW, JASON",hero
HAVOK/ALEX SUMMERS,hero
HAVOK | MUTANT X-VER,hero
HAV-ROGG,hero
HAWKEYE DOPPELGANGER,hero
HAWKEYE | MUTANT X-V,hero
HAWK,hero
"HAWKINS, DR. EDWIN E",hero
HAWKSHAW,hero
"HAWLEY, PAMELA",hero
HAYDEN,hero
HAYWIRE/,hero
HAZARD/CARTER RYKING,hero
HEADCASE,hero
HEADGEAR/,hero
HEADHUNTER/,hero
HEADLOK,hero
HEADMISTRESS/,hero
HEALER,hero
HEATER DELIGHT,hero
HEAT-RAY/,hero
HECATE,hero
"HECK, DON",hero
HECTOR,hero
HECTOR II,hero
"HEDERMAN, LOTTIE",hero
HEDRON,hero
HEIMDALL [ASGARDIAN],hero
HELA [ASGARDIAN],hero
HELIO,hero
HELIUM,hero
HELIX II,hero
HELIX/RAFAEL CARAGO,hero
HELKOOKY,hero
HELLCAT/PATSY WALKER,hero
HELLEN,hero
"HELLER, DR. JOSEPH",hero
"HELLER, ERIC",hero
HELL-EYES,hero
HELLFIRE/MIKAL DRAGO,hero
HELLRAZOR,hero
HELLSCOUT/KENNETH TE,hero
HELLSPAWN,hero
HELLSTORM/DAIMON HEL,hero
HELLSTORM DOPPELGANG,hero
"HELLSTROM, VICTORIA",hero
HEMINGWAY,hero
"HENCKEL, MARIA",hero
"HENDERSHOOT, COLONEL",hero
"HENDERSON, CAROL",hero
"HENRY, JOHN",hero
"HENSHAW, CURTIS",hero
HEPHAESTUS,hero
HERA/AUGUSTINE JONES,hero
HERCULES DOPPELGANGE,hero
HERCULES [GREEK GOD],hero
HERMES [GREEK GOD],hero
HERMOD [ASGARDIAN],hero
HESCAMAR/MARNOT [ASG,hero
"HESSLER, WOLFGANG",hero
HETH'SA,hero
HEX/DOMINIC DESTINE,hero
"HEYWERTH, GENERAL",hero
"HIBBERT, ELLEN",hero
"HIBBERT, HOPE",hero
"HIDALGO, DETECTIVE J",hero
"HIGGINS, JANE",hero
"HIGGINS, LINDA",hero
"HIGGINS, RICHIE",hero
"HIGGINS, SAMUEL",hero
HIGH EVOLUTIONARY/HE,hero
HIGHNOTE/RAOUL HERNA,hero
HIGH OVERLORD,hero
HIJACKER,hero
HILARY,hero
"HILDEBRANT, DR.",hero
HILDEGARDE [ASGARDIA,hero
HILDY [ASGARDIAN],hero
"HILL, GEORGE",hero
"HILLIARD, JACOB",hero
HINDSIGHT LAD/CARLTO,hero
"HINDS, PATRICK",hero
"HINKLEY, ADMIRAL",hero
HINKLEY,hero
HIPPOLYTA [GREEK GOD,hero
HIRO,hero
HIROMITSU,hero
"HITCHUCK, KELLY",hero
"HITLER, ADOLF",hero
HITMAN/LT. BURT KENY,hero
"HOARD, JOSH",hero
HOARFEN,hero
HOARFROST/,hero
"HOBBS, DET.",hero
"HOBBS, HARRIS",hero
HOBGOBLIN,hero
HOBGOBLIN III/LEFTY,hero
HOBGOBLIN II/RODERIC,hero
HOBGOBLIN V/JASON PH,hero
"HOCHBERG, ROGER",hero
HODER [ASGARDIAN],hero
"HODGE, CAMERON",hero
"HOFFMAN, ALICE",hero
HOFFMAN,hero
"HOGAN, HAROLD J. HAP",hero
"HOGAN, VIRGINIA PEPP",hero
"HOGARTH, JERYN",hero
HOGGOTH,hero
HOGUN [ASGARDIAN],hero
HOGUN | MUTANT X-VER,hero
"HOLDEN, DR. SAMUEL",hero
"HOLDSWORTH, PARKER",hero
"HOLIDAY, JORDAN",hero
"HO, LI MUAN",hero
"HOLKAR, DR. SHYAM",hero
"HOLLISTER, SHERIFF",hero
HOLLYWOOD,hero
HOLOCAUST,hero
HOLY/FATHER HECTOR R,hero
"HONDA, DR.",hero
HONEY LEMON/,hero
"HONIKAWA, SHO",hero
HOO,hero
HOOPSNAKE/,hero
HOPE,hero
"HOPKINS, STEVE",hero
"HORTON, DOUGIE",hero
"HORTON, PROFESSOR PH",hero
HORUS [EGYPTIAN GOD],hero
"HOSEK, BULL",hero
HOTAMITANIO,hero
HO TI,hero
HOTSHOT/LOUIS,hero
HOUND,hero
HOUSE OF SHADOWS,hero
"HOUSTON, LT. COMMAND",hero
"HOUSTON, STELLA",hero
"HOWARD, PROFESSOR MA",hero
HOWARD THE DUCK,hero
HOWLER II/ZED,hero
HOWLER/LUKE GARROW,hero
HO YINSEN,hero
"HOYT, TONY",hero
HRILL,hero
HRIMHARI,hero
"HSU, CHEN",hero
"HUDDLESTON, PROF.",hero
"HU, DR.",hero
"HUDSON, HEATHER",hero
"HUDSON, JAMES | MUTA",hero
HUGIN,hero
"HUGO, CAPTAIN EDVARD",hero
HULK DOPPELGANGER,hero
HULK DOPPELGANGER II,hero
HULK/DR. ROBERT BRUC,hero
HULK III/BRUCE BANNE,hero
HULK IV,hero
HULK | MUTANT X-VERS,hero
HULK ROBOT,hero
HUMAN ROBOT,hero
HUMAN TOP/DAVEY MITC,hero
HUMAN TORCH ANDROID/,hero
HUMAN TORCH DOPPELGA,hero
HUMAN TORCH/JOHNNY S,hero
HUMBUG/PROF. B. MITT,hero
HUMP/,hero
HUMUS SAPIEN,hero
HUNCH,hero
HUNGER,hero
HUNGYR,hero
HUNKIR,hero
HUNTARA/MARY ELIZABE,hero
"HUNTER, IAN",hero
HUNTER IN DARKNESS,hero
HUNTER/JAEGER,hero
"HUNTER, LANCE",hero
"HUNTER, STEVIE",hero
"HUNT, JERRY",hero
"HUNT, ROBERTA",hero
HUNTSMAN,hero
"HURDLER, THOMAS",hero
HURRICANE II,hero
HURRICANE III,hero
HUSK/PAIGE GUTHRIE |,hero
HUSK/PAIGE GUTHRIE,hero
HUSSAR,hero
"HUXLEY, DR. ALDA",hero
"HUXLEY, DR. HORATIO",hero
HYBRID/JAMES JIMMY M,hero
HYDROMAN/MORRIE BENC,hero
HYDRON,hero
HYENA/HENRY MORTONSO,hero
HYNNIT,hero
HYPERION,hero
HYPERION II,hero
HYPERSTORM,hero
HYPERTRON/CHESTER,hero
HYPERTRON II/STURDEV,hero
HYPNO-HUSTLER/,hero
HYZAKTL,hero
ICEMAN DOPPELGANGER,hero
ICE-MAN | MUTANT X-V,hero
ICEMAN/ROBERT BOBBY,hero
ICEMASTER/,hero
ICE PRINCESS/,hero
ICE WORM,hero
"ICHIHARA, SHIGERU",hero
ICON/DR. U'MBAYA A'K,hero
ICONOCLAST,hero
IDNAR,hero
IDRIS,hero
IDUNA,hero
"IGOE, MAX",hero
IGOR,hero
IKARIS/IKE HARRIS [E,hero
IKARIS | MUTANT X-VE,hero
IKARYS,hero
IKONN,hero
IKTHON,hero
"IMMORTUS, MARCUS",hero
IMPACT/,hero
IMPALA/,hero
IMPOSSIBLE MAN,hero
IMPOSSIBLE WOMAN,hero
IMP/PANDORA DESTINE,hero
IMPULSE,hero
IMPULSE II/DWIGHT HU,hero
INAZUMA,hero
IN-BETWEENER,hero
INDECH,hero
"INDIGO, ODYSSEUS",hero
INDIUM,hero
INERTIA/,hero
"INES, DR. DIDIER",hero
INFECTIA/JOSEPHINE,hero
INFERNO,hero
INFERNO III/SAMANTHA,hero
INFERNO II/JOSEPH CO,hero
INFINITY,hero
INFINITY II,hero
INFINITY THRALL,hero
INFOMORPH,hero
INGOT/,hero
INNARDS,hero
INNOCENT,hero
"INSHALLAH, KHALID",hero
INSOMNIA/,hero
INTEGER,hero
INTELLIGENTSIA,hero
INTERLOPER,hero
INVISIBLE WOMAN DOPP,hero
INVISIBLE WOMAN/SUE,hero
"IONELLO, JASON",hero
ION/,hero
I.Q./ISHMAEL QUESTOR,hero
IREZUMI/,hero
IRIDIA [INHUMAN],hero
IRONCLAD,hero
IRON CROSS/HELMUT GR,hero
IRON FIST/DANIEL RAN,hero
IRON FIST H'YLTHRI I,hero
IRON FIST | MUTANT X,hero
IRON GIANT MAN | MUT,hero
IRON,hero
IRON MAIDEN/,hero
IRON MAIDEN II/,hero
IRON MAN ARMOR,hero
IRON MAN DOPPELGANGE,hero
IRON MAN III/EDDIE M,hero
IRON MAN IV/JAMES R.,hero
IRON MAN/TONY STARK,hero
IRON MAN V/TEEN TONY,hero
"IRONWOOD, CISSY",hero
ISAAC,hero
ISBISA/DR. SANDERSON,hero
"ISHIHARA, ZOE",hero
"ISHIMA, DAVID",hero
ISIS,hero
"ISLEY, LYNN",hero
IT,hero
"ITOBU, DR. JOSHUA",hero
ITZAMNA,hero
"IVANOVA, ELENA",hero
IVORY/,hero
IZANAMI,hero
IZANAMI II,hero
IZZIFIZZ,hero
JACKAL II/WARREN,hero
JACKAL/MILES WARREN,hero
JACK FLAG/,hero
JACK FROST/,hero
JACKHAMMER,hero
JACK,hero
JACKKNIFE/JACK COLE,hero
JACK O'DIAMONDS,hero
JACK OF HEARTS/JACK,hero
JACK O'LANTERN II/MA,hero
JACK SERIOUS/DR. JOH,hero
"JACKSON, ANDREW JOCK",hero
"JACKSON, BRENT",hero
"JACKSON, CELIA",hero
"JACKSON, CURTISS",hero
"JACKSON, STEVE",hero
"JACOBS, BEN",hero
"JACOBS, GLENDA",hero
"JACOBY, KYLE",hero
JADE DRAGON/DEI GUAN,hero
JAGATAR,hero
JAGGED BOW/,hero
JAGRFELM [ASGARDIAN],hero
JAHF,hero
JAILBAIT/JESS,hero
JAKAL,hero
JAKAR,hero
"JAKES, JUDSON",hero
JAMEEL,hero
JAMEKA,hero
"JAMESLEY, ALOYSIUS R",hero
"JAMESON, COL. JOHN",hero
"JAMESON, J. JONAH",hero
"JAMESON, MARLA MADIS",hero
JAMIL,hero
JAM/JASMINE ARCHER,hero
"JANES, FATHER MICHAE",hero
"JANSON, DR. ANDREA",hero
JANUS,hero
JANUS II,hero
JARA,hero
"JARDINE, AMANDA",hero
JARDINE,hero
JARELLA,hero
"JARMAN, TOMMY",hero
"JARVIS, EDWIN",hero
"JARVIS, EDWIN | TIME",hero
"JARZINHO, COL. EDSON",hero
JASMINE,hero
JASON,hero
JASON II,hero
JAVELIN/DARIN,hero
JAVELIN II/DARIN JR.,hero
JAVITZ,hero
JAWBREAKER/,hero
"JAYE-FIRESTONE, GING",hero
"JEFFERSON, DR.",hero
"JEFFRIES, DR.",hero
"JEFFRIES, MAGGIE",hero
JEKUAKKEKT,hero
"JELLA, PRIVATE",hero
JEMIAH,hero
"JENKINS, WALTER",hero
"JENNINGS, JOSEPH",hero
JENSKOT/ALIYA,hero
"JERICHO, DUNCAN",hero
"JERICHO, JUSTINA",hero
"JEROME, JASON",hero
"JESSUP, DR.",hero
JESTER II,hero
JESTER III,hero
JESTER/JONATHAN POWE,hero
JET-BLACK/,hero
JETSTREAM/HAROUD IBN,hero
JEXIA,hero
JIGSAW,hero
JIKEKT,hero
"JILLETE, RANDI",hero
JILL,hero
JINKU,hero
JINX,hero
JIOMO,hero
JOCASTA,hero
JOCASTA II,hero
JOHNNY APPLESEED/JON,hero
"JOHNSMEYER, JAMES",hero
"JOHNSON, ANNA",hero
JOHNSON,hero
"JOHNSON, LYNDON BAIN",hero
JOLT/HALLIE TAKAHAMA,hero
"JONES, ANDY",hero
"JONES, ARMAND",hero
"JONES, AUGUSTINE",hero
"JONES, BART",hero
"JONES, CHARLOTTE",hero
"JONES, DANIEL DANNY",hero
"JONES, DRUCILLA",hero
"JONES, GABE",hero
"JONES, HUGH",hero
"JONES, JANIS",hero
"JONES, JOHN",hero
"JONES, KATIE",hero
"JONES, LORRAINE LORR",hero
"JONES, LOUISE",hero
"JONES, MAGGIE",hero
"JONES, MARLO CHANDLE",hero
"JONES, NELL",hero
"JONES, PHILLIP",hero
"JONES, RICARDO",hero
"JONES, RICHARD MILHO",hero
"JONES, SANDY",hero
"JONES, TAMMY ANNE",hero
"JONES, TIMOTHY",hero
"JONES, WALTER",hero
"JONES, WILLIAM",hero
JONIN,hero
"JORDAN, HAL",hero
JORNICK,hero
JORRO,hero
JOSEPH,hero
"JOSEPH, SHEVA",hero
"JOSHUA, DR. SEGISMUN",hero
"JOSTEN, CARL",hero
"JOSTEN, LINDY",hero
JOUST,hero
JOVAN,hero
JOYBOY,hero
"JOYCE, SAMANTHA",hero
JOYSTICK/JANICE,hero
JUBILEE/JUBILATION L,hero
JUDE,hero
JUDGE KRAY-TOR,hero
JUGGERNAUT/CAIN MARK,hero
JUGGERNAUT | MUTANT,hero
JUNCTION,hero
JUNIPER,hero
"JUNIPER, JONATHAN JU",hero
JUPITER,hero
JURIAS,hero
JUSTICE II/VANCE AST,hero
JUSTICE PEACE,hero
"JUSTIN, GLORIA",hero
JUSUR,hero
JUTTA,hero
JUVAN,hero
JYX,hero
"JZEMLICO, WARDEN",hero
KAA,hero
KABALLA,hero
K'AD-MON,hero
"KAFKA, DR. ASHLEY",hero
KAINE,hero
"KAISHEK, GOM",hero
"KAISHEK, HAAN",hero
"KAISHEK, KIA",hero
"KAISHEK, YOLYN",hero
KALADAR [SHI'AR],hero
KALA,hero
"KALE, JENNIFER",hero
"KALE, NAOMI",hero
KALI,hero
KALIKYA [INHUMAN],hero
KALIN KARTH KITH,hero
KALMARI,hero
KALUU,hero
KAMAL,hero
KAMIKAZE,hero
KAMINARI,hero
KAMO THARNN,hero
KANDRA,hero
"KANE, LARRY",hero
"KANE, MARCY/KAINA",hero
"KANE, SUGAR",hero
KANGAROO/FRANK OLIVE,hero
KANGAROO II/,hero
"KANNOR, ORLANDO",hero
"KAPPELBAUM, MRS.",hero
KAREL,hero
KARGUL,hero
KARIMA,hero
"KARIM, MERYET",hero
KARKAS [DEVIANT],hero
KARKAS | MUTANT X-VE,hero
"KARLSON, KAREN",hero
KARMA 2013,hero
KARMA/XI'AN COY MANH,hero
KARNAK DOPPELGANGER,hero
KARNAK [INHUMAN],hero
KARNAK | MUTANT X-VE,hero
KARNILLA [ASGARDIAN],hero
KARNIVOR,hero
KARSANO,hero
